Gemeindename,Score,Total Anzahl Dossiers,Total Sozialhilfequote,Total Sozialhilfequote Schweizer,Total Sozialhilfequote Ausländer,Alter 0-17,Alter 18-64,Alter 65+,obligatorische Schule,sekundarstufe I,tertiärstufe,Personenschaden absolut mit Personenschaden,Personenschaden pro 1000 Einwohner,Durchschnitt Anzahl 2017-2021,davon getötete Personen,davon verletze Personen,Lenker/innen,Mitfahrer/innen,Fussgänger/innen,Fahrzeugähnliche Geräte,Rank,Longitude,Latitude,Distanz zu nächsten Prontoshop in km,Median Einkommen,Ergänzungsleistungen in % zu Median,Einkommen aus Vermögenserträgen,Frei verfügbares Einkommen,20000,100000,1000000,Total Aktiven,Finanzvermögen¹,Verwaltungsvermögen,Total Passiven,Fremdkapital,Eigenkapital,Spezielfinanzierung EK,Fond im EK,Aufwertungsreserven,überiges Eigentkapital,Bilanzüberschuss
Roggliswil,0.4668701741784881,3.0,0.4,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,4,5.5,2.0,0,5,5,0,0,0,9.0,7.886,47.212,7.467450282516714,101698.0,1.0,4.4,34028.0,1.57225,14.6012,20.20764,6099066,3487527,2611539,6099066,2765470,3333595,811826,3061,212715,0,2305993
Römerswil,0.9337403483569762,12.0,0.8,0.8,1.2,0.5,1.1,0.0,0.0,0.0,0.0,5,2.8,4.0,0,5,4,1,0,0,22.0,8.246,47.17,3.370804285217097,102438.0,1.5,1.1,32393.0,1.5415,14.2628,20.20764,15999841,6073240,9926601,15999841,7077961,8921880,3937845,0,0,0,4984035
Root,3.4835697611779493,74.0,2.5,1.8,4.3,4.4,2.3,0.6,0.0,1.3,0.6,5,0.9,8.0,0,6,3,1,2,0,52.0,8.392,47.114,4.919508259056902,103564.0,3.7,0.0,34167.0,1.3693,12.367760000000002,17.994189400000003,66283540,28189537,38094003,66283540,19025635,47257905,9600701,126200,3731045,0,33799958
Rothenburg,2.9807864966780397,49.0,0.9,0.5,3.9,1.1,1.1,0.0,0.0,0.6,0.2,12,1.5,19.0,0,15,13,0,2,0,50.0,8.273,47.094,1.0776430578298983,110555.0,2.3,1.6,37040.0,1.403125,12.740000000000002,18.53781875,113211167,44204538,69006629,113211167,39432380,73778787,16456419,1747617,23688285,0,31886466
Ruswil,4.614832106302747,91.0,2.2,0.8,15.1,3.4,2.4,0.3,2.9,1.0,0.3,14,2.0,14.0,0,19,15,0,4,0,56.0,8.127,47.085,4.856812105347434,101394.0,3.3,0.5,33046.0,1.52305,14.059760000000002,20.20764,71851883,19264806,52587078,71851883,39782471,32069413,9155156,438817,7956821,0,14518619
Schongau,0.6464356257855989,3.0,0.7,0.1,7.4,1.4,0.6,0.0,0.0,0.0,0.0,5,4.7,3.0,0,5,5,0,0,0,14.0,8.267,47.269,11.63225466075118,114780.0,1.7,5.4,36270.0,1.54765,14.33048,20.20764,11358994,5237476,6121519,11358994,5491121,5867873,768858,1809595,0,0,3289419
Schötz,2.639612138624529,59.0,2.0,1.5,4.1,2.4,2.1,0.9,0.0,0.9,0.0,7,1.5,7.0,0,8,4,1,3,0,46.0,7.989,47.169,4.536481464671697,96924.0,3.6,0.0,31392.0,1.5415,14.2628,20.20764,63047802,22103658,40944144,63047802,37122507,25925295,3460725,10146,0,0,22454424
Schüpfheim,2.513916322499551,53.0,2.4,1.4,15.1,4.4,2.4,0.2,0.0,1.3,0.2,5,1.2,6.0,0,5,4,0,1,0,44.0,8.02,46.953,1.2790719265020938,92676.0,4.3,0.7,31061.0,1.55995,14.46584,20.20764,60726799,13978823,46747976,60726799,26243906,34482893,12594342,1044436,0,0,20844115
Schwarzenberg,1.580175974142575,6.0,0.5,0.4,2.3,0.8,0.6,0.0,0.0,0.0,0.0,4,2.3,3.0,0,5,2,1,2,0,33.0,8.174,47.016,7.416632169318972,104059.0,2.0,5.1,33450.0,1.5415,14.2628,20.20764,25995294,9939258,16056036,25995294,10204437,15790857,8275958,8508,0,0,7506391
Sempach,1.9033937870353743,11.0,0.4,0.2,1.3,0.2,0.4,0.1,0.0,0.1,0.0,11,2.6,14.0,0,11,10,1,0,0,38.0,8.199,47.133,0.524599445927781,118596.0,1.6,3.4,38430.0,1.4215749999999998,12.94304,18.83434385,60364911,26574248,33790664,60364911,25782314,34582598,13828904,1315943,0,0,19437750
Sursee,9.516968935176871,153.0,2.4,1.1,8.5,4.4,2.4,0.3,4.5,1.1,0.4,31,3.0,39.0,0,34,27,2,5,0,61.0,8.109,47.173,0.3765741497874933,94103.0,3.6,0.0,33285.0,1.38775,12.570800000000002,18.2907145,216544252,74700513,141843739,216544252,97086145,119458107,58862353,7905070,0,0,52690684
Triengen,2.675525228945951,41.0,1.7,0.8,4.2,3.0,1.7,0.0,0.0,1.0,0.6,10,2.2,9.0,1,9,8,0,2,0,47.0,8.077,47.234,7.1436684654703315,102533.0,3.2,0.4,32610.0,1.3124125,11.74172,17.079903675,49230574,20427309,28803265,49230574,22854504,26376070,7044929,14626,6237417,0,13079099
Udligenswil,0.6643921709463099,9.0,0.4,0.4,0.3,0.2,0.5,0.2,0.0,0.0,0.0,3,1.3,4.0,0,5,3,2,0,0,15.0,8.399,47.091,4.349287999343449,123309.0,1.6,7.8,40306.0,1.433875,13.078399999999998,19.03202725,44998575,24548059,20450516,44998575,21864104,23134471,6636472,392549,2632926,0,13472524
Ufhusen,0.5746094451427546,4.0,0.9,0.5,6.8,1.7,0.7,0.7,0.0,0.0,0.0,4,4.3,2.0,0,4,4,0,0,0,11.0,7.9,47.118,12.04445959439862,99563.0,1.8,0.1,30584.0,1.618375,15.1088,20.20764,19970773,12954225,7016548,19970773,9342048,10628725,1783310,0,805640,0,8039775
Vitznau,0.233435087089244,6.0,0.6,0.5,1.0,1.5,0.7,0.0,0.0,0.0,0.0,0,0.0,4.0,0,0,0,0,0,0,4.0,8.484,47.01,11.298686214164016,92127.0,2.2,1.1,31637.0,1.2955,11.5556,16.808089,46920875,25544335,21376539,46920875,14795329,32125546,2838341,699956,0,0,28587249
